"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US76253","ZCTA5 76253","313","147",
"8600000US76255","ZCTA5 76255","5369","302",
"8600000US76258","ZCTA5 76258","6820","523",
"8600000US76259","ZCTA5 76259","4890","833",
"8600000US76261","ZCTA5 76261","310","112",
"8600000US76262","ZCTA5 76262","34422","1310",
"8600000US76263","ZCTA5 76263","58","50",
"8600000US76264","ZCTA5 76264","1541","385",
"8600000US76265","ZCTA5 76265","1806","287",
"8600000US76266","ZCTA5 76266","15439","664",
"8600000US76268","ZCTA5 76268","277","116",
"8600000US76270","ZCTA5 76270","1797","418",
"8600000US76271","ZCTA5 76271","1626","400",
"8600000US76272","ZCTA5 76272","4256","717",
"8600000US76273","ZCTA5 76273","9245","1015",
"8600000US76301","ZCTA5 76301","15632","957",
"8600000US76302","ZCTA5 76302","13725","706",
"8600000US76305","ZCTA5 76305","4264","360",
"8600000US76306","ZCTA5 76306","15099","883",
"8600000US76308","ZCTA5 76308","19361","816",
"8600000US76309","ZCTA5 76309","12939","831",
"8600000US76310","ZCTA5 76310","17720","963",
"8600000US76311","ZCTA5 76311","8501","919",
"8600000US76351","ZCTA5 76351","1853","278",
"8600000US76354","ZCTA5 76354","12085","331",
"8600000US76357","ZCTA5 76357","662","170",
"8600000US76360","ZCTA5 76360","3561","301",
"8600000US76363","ZCTA5 76363","433","118",
"8600000US76364","ZCTA5 76364","143","44",
"8600000US76365","ZCTA5 76365","4395","218",
"8600000US76366","ZCTA5 76366","2102","264",
"8600000US76367","ZCTA5 76367","14963","592",
"8600000US76370","ZCTA5 76370","252","92",
"8600000US76371","ZCTA5 76371","1557","211",
"8600000US76372","ZCTA5 76372","1409","342",
"8600000US76373","ZCTA5 76373","198","127",
"8600000US76374","ZCTA5 76374","3917","249",
"8600000US76377","ZCTA5 76377","820","183",
"8600000US76379","ZCTA5 76379","616","167",
"8600000US76380","ZCTA5 76380","3633","22",
